date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,NSW,-35.0658014,145.3797645,2002,1,29.44820564516129,38.91,,,34.2,,,10.468376934528306,29.4301171875,2.8991053677932404,0.2436
2002-02-15,NSW,-35.0658014,145.3797645,2002,2,38.91,,,34.2,,,30.38,61.40685939788816,26.28972656250005,4.6161323681489135,0.27045
2002-03-15,NSW,-35.0658014,145.3797645,2002,3,30.48674332935086,,34.2,,,30.38,,29.33753854036326,24.08222656250001,4.45587044534413,0.30055
2002-04-15,NSW,-35.0658014,145.3797645,2002,4,30.30675555555555,34.2,,,30.38,,,10.579439699649791,17.56734375000002,5.577203647416413,0.3402
2002-05-15,NSW,-35.0658014,145.3797645,2002,5,34.2,,,30.38,,,37.31,16.47230690717695,12.112734375000002,5.3721536351165975,0.366
2002-06-15,NSW,-35.0658014,145.3797645,2002,6,29.324392156862743,,30.38,,,37.31,,24.24664378166198,7.790878906250043,6.164373088685016,0.3738
2002-07-15,NSW,-35.0658014,145.3797645,2002,7,28.34294117647059,30.38,,,37.31,,,5.615024786442518,8.629453125000055,5.721554770318022,0.3615
2002-08-15,NSW,-35.0658014,145.3797645,2002,8,30.38,,,37.31,,,41.21,13.408859163522674,10.688515625000036,5.894930875576038,0.3458
2002-09-15,NSW,-35.0658014,145.3797645,2002,9,27.83823529411765,,37.31,,,41.21,,18.32193374633784,16.006503906250032,6.224509803921567,0.31935
2002-10-15,NSW,-35.0658014,145.3797645,2002,10,28.29800337339237,37.31,,,41.21,,,1.3414292223751008,21.870273437500032,4.532023289665211,0.2718
2002-11-15,NSW,-35.0658014,145.3797645,2002,11,37.31,,,41.21,,,35.21,7.853843271732264,26.14597656250004,2.827805864509606,0.22325
2002-12-15,NSW,-35.0658014,145.3797645,2002,12,29.10851992409867,,41.21,,,35.21,,19.310283690690984,30.39234375000001,1.843790849673203,0.2114
2003-01-15,NSW,-35.0658014,145.3797645,2003,1,29.44820564516129,41.21,,,35.21,,,0.3327861987054348,29.56646484375005,1.8736252545824843,0.20435
2003-02-15,NSW,-35.0658014,145.3797645,2003,2,41.21,,,35.21,,,30.61,50.08867979049681,29.920644531250048,2.9211538461538464,0.2162
2003-03-15,NSW,-35.0658014,145.3797645,2003,3,30.48674332935086,,35.21,,,30.61,,1.2190525028853936,24.01669921875004,2.799897645854658,0.22985
2003-04-15,NSW,-35.0658014,145.3797645,2003,4,30.30675555555555,35.21,,,30.61,,,31.070923805236752,17.43718750000005,4.922768670309654,0.2847
2003-05-15,NSW,-35.0658014,145.3797645,2003,5,35.21,,,30.61,,,34.86,36.81094327569003,11.634648437500005,6.273333333333334,0.37695
