date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,NSW,-33.2153195,145.4939845,2002,1,-0.8314621330961467,36.32,35.89,34.58,,34.23,34.34,-0.6765363976164183,1.3490984664623151,-1.109476293558395,-0.8314621330961486
2002-02-15,NSW,-33.2153195,145.4939845,2002,2,-0.6992232743602407,35.89,34.58,,34.23,34.34,,0.043840523515185,0.9964075050414098,-0.7731960840871088,-0.6992232743602425
2002-03-15,NSW,-33.2153195,145.4939845,2002,3,-0.7662610291360819,34.58,,34.23,34.34,,34.41,-0.3409927696445067,0.7433239046304803,-0.8373854198641992,-0.7662610291360837
2002-04-15,NSW,-33.2153195,145.4939845,2002,4,-0.696009135432632,,34.23,34.34,,34.41,35.58,-0.6521617249120205,0.0053914728261842,-0.5622193641146612,-0.6960091354326338
2002-05-15,NSW,-33.2153195,145.4939845,2002,5,-0.6395321228475053,34.23,34.34,,34.41,35.58,,-0.5112159152603465,-0.647358709021788,-0.4930566157163119,-0.639532122847507
2002-06-15,NSW,-33.2153195,145.4939845,2002,6,-0.5307105620127495,34.34,,34.41,35.58,,35.07,-0.5681474431274639,-1.3596160897003595,-0.0659370444655755,-0.5307105620127512
2002-07-15,NSW,-33.2153195,145.4939845,2002,7,-0.6946316473207995,,34.41,35.58,,35.07,35.51,-0.8532172365988796,-1.2538764433188263,-0.2932994779638523,-0.6946316473208013
2002-08-15,NSW,-33.2153195,145.4939845,2002,8,-0.7804950729583495,34.41,35.58,,35.07,35.51,36.05,-0.7008693663809876,-0.8705418555781915,-0.7934032947372583,-0.7804950729583514
2002-09-15,NSW,-33.2153195,145.4939845,2002,9,-0.898499887871988,35.58,,35.07,35.51,36.05,34.85,-0.1786310540633507,-0.2855093707542407,-0.7658889442329132,-0.8984998878719899
2002-10-15,NSW,-33.2153195,145.4939845,2002,10,-1.060584322364262,,35.07,35.51,36.05,34.85,34.5,-1.0474387958287008,0.353921558468849,-1.0546234408747683,-1.0605843223642637
2002-11-15,NSW,-33.2153195,145.4939845,2002,11,-1.138182819330818,35.07,35.51,36.05,34.85,34.5,,-0.8715971627732253,0.8599307795151782,-1.124770371325597,-1.1381828193308197
2002-12-15,NSW,-33.2153195,145.4939845,2002,12,-1.1115513825020589,35.51,36.05,34.85,34.5,,34.97,-0.5550619250549224,1.1695088376851956,-1.2557789622758704,-1.1115513825020606
2003-01-15,NSW,-33.2153195,145.4939845,2003,1,-1.1427744463702592,36.05,34.85,34.5,,34.97,35.16,-1.024615664216238,1.4859734790282846,-1.353483084483086,-1.142774446370261
2003-02-15,NSW,-33.2153195,145.4939845,2003,2,-1.0353303736473354,34.85,34.5,,34.97,35.16,34.54,2.143390999407903,1.236374333948216,-1.0101357778965652,-1.0353303736473372
2003-03-15,NSW,-33.2153195,145.4939845,2003,3,-0.7309055009323849,34.5,,34.97,35.16,34.54,35.68,-1.0473515232742467,0.4666434659156842,-0.866601737391395,-0.7309055009323867
2003-04-15,NSW,-33.2153195,145.4939845,2003,4,-0.6781017899788113,,34.97,35.16,34.54,35.68,36.85,-0.3813226205566889,-0.1283639954397381,-0.4161097510201043,-0.6781017899788131
2003-05-15,NSW,-33.2153195,145.4939845,2003,5,-0.2350097806727372,34.97,35.16,34.54,35.68,36.85,35.3,-0.035369807934929,-0.8427507654871748,-0.0196119102476061,-0.2350097806727389
2003-06-15,NSW,-33.2153195,145.4939845,2003,6,0.2760383088170666,35.16,34.54,35.68,36.85,35.3,35.2,-0.2978392421671051,-1.1708525086057628,0.4751473064551993,0.276038308817065
2003-07-15,NSW,-33.2153195,145.4939845,2003,7,1.0162085875749851,34.54,35.68,36.85,35.3,35.2,36.97,0.4607474046701583,-1.4746854431076435,0.3045593030322589,1.016208587574984
2003-08-15,NSW,-33.2153195,145.4939845,2003,8,1.5254200262490123,35.68,36.85,35.3,35.2,36.97,37.38,1.238162539041419,-1.3251342223552434,1.0311720680517704,1.5254200262490112
2003-09-15,NSW,-33.2153195,145.4939845,2003,9,0.3903698220991517,36.85,35.3,35.2,36.97,37.38,36.505,-0.6461879325737082,-0.5164646772536311,1.2335349562453082,0.3903698220991501
2003-10-15,NSW,-33.2153195,145.4939845,2003,10,-0.3277606468694491,35.3,35.2,36.97,37.38,36.505,,-0.0297288361839169,-0.0609266568906095,0.4089593751393868,-0.3277606468694509
2003-11-15,NSW,-33.2153195,145.4939845,2003,11,-0.7524861480177584,35.2,36.97,37.38,36.505,,35.01,0.198666550252691,0.8737684728118993,-0.5686827633458079,-0.7524861480177603
2003-12-15,NSW,-33.2153195,145.4939845,2003,12,-0.831921295800091,36.97,37.38,36.505,,35.01,35.1,-0.0427696520947957,1.3818514565455606,-0.9665880670143152,-0.8319212958000929
2004-01-15,NSW,-33.2153195,145.4939845,2004,1,-0.8897757964970499,37.38,36.505,,35.01,35.1,,-0.76796559678964,1.42919198759252,-1.1004973024592388,-0.8897757964970517
2004-02-15,NSW,-33.2153195,145.4939845,2004,2,-0.8888574710891615,36.505,,35.01,35.1,,35.26,-0.6128724374685122,1.447139380120475,-1.3041968874841023,-0.8888574710891634
