date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,VIC,-38.1655836,143.4865757,2002,1,5.22,5.16,5.02,5.47,5.53,5.38,5.13,26.484331727027865,16.774726562500007,18.45773809523809,0.5244946902654867
2002-02-15,VIC,-38.1655836,143.4865757,2002,2,5.16,5.02,5.47,5.53,5.38,5.13,5.04,82.83823442459101,19.070800781250057,14.934759358288773,0.4947155555555555
2002-03-15,VIC,-38.1655836,143.4865757,2002,3,5.02,5.47,5.53,5.38,5.13,5.04,4.91,16.402354091405833,18.07378906250005,11.857913669064748,0.499319298245614
2002-04-15,VIC,-38.1655836,143.4865757,2002,4,5.47,5.53,5.38,5.13,5.04,4.91,4.96,41.2350153923034,13.34810546875002,8.23392857142857,0.5076591111111111
2002-05-15,VIC,-38.1655836,143.4865757,2002,5,5.53,5.38,5.13,5.04,4.91,4.96,5.04,71.66145604848857,10.179355468750032,7.256825396825397,0.5632893805309735
2002-06-15,VIC,-38.1655836,143.4865757,2002,6,5.38,5.13,5.04,4.91,4.96,5.04,5.13,96.17244958877558,7.056718750000016,6.763736263736262,0.6206885462555066
2002-07-15,VIC,-38.1655836,143.4865757,2002,7,5.13,5.04,4.91,4.96,5.04,5.13,5.81,93.38128566741943,6.982753906250025,7.605099150141642,0.6694499999999999
2002-08-15,VIC,-38.1655836,143.4865757,2002,8,5.04,4.91,4.96,5.04,5.13,5.81,5.79,68.46280056238172,7.335507812500055,10.728808864265927,0.6965318584070798
2002-09-15,VIC,-38.1655836,143.4865757,2002,9,4.91,4.96,5.04,5.13,5.81,5.79,5.68,88.70632231235501,9.044453125000018,16.891408934707904,0.721088986784141
2002-10-15,VIC,-38.1655836,143.4865757,2002,10,4.96,5.04,5.13,5.81,5.79,5.68,6.15,63.14806061983101,10.886855468750014,19.889385474860337,0.69
2002-11-15,VIC,-38.1655836,143.4865757,2002,11,5.04,5.13,5.81,5.79,5.68,6.15,6.23,53.56769442558286,15.049472656250032,25.280839895013127,0.6802
2002-12-15,VIC,-38.1655836,143.4865757,2002,12,5.13,5.81,5.79,5.68,6.15,6.23,6.12,44.073344886302905,20.208984375000057,18.24865671641791,0.5305662280701754
2003-01-15,VIC,-38.1655836,143.4865757,2003,1,5.81,5.79,5.68,6.15,6.23,6.12,6.08,29.6976518332958,22.241367187500032,13.881558441558443,0.4264017777777777
2003-02-15,VIC,-38.1655836,143.4865757,2003,2,5.79,5.68,6.15,6.23,6.12,6.08,5.42,32.89309680461878,21.64031250000005,12.706434316353883,0.3884266666666665
2003-03-15,VIC,-38.1655836,143.4865757,2003,3,5.68,6.15,6.23,6.12,6.08,5.42,5.43,39.58076047897333,18.103515625000057,11.285671641791044,0.4439371681415929
2003-04-15,VIC,-38.1655836,143.4865757,2003,4,6.15,6.23,6.12,6.08,5.42,5.43,4.91,54.66066241264337,13.899199218750027,9.748863636363636,0.54095
2003-05-15,VIC,-38.1655836,143.4865757,2003,5,6.23,6.12,6.08,5.42,5.43,4.91,4.79,37.69416582584379,9.26750000000004,8.227160493827162,0.6097499999999999
