date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,VIC,-38.4399459,142.8116352,2002,1,-0.351354740030373,1.8,2.58,3.08,3.53,3.47,0.57,-1.0815575623340896,0.4741751964911568,1.3119087048192968,-0.3513547400303744
2002-02-15,VIC,-38.4399459,142.8116352,2002,2,-0.7939166528119916,2.58,3.08,3.53,3.47,0.57,0.3,0.1741806061248249,1.0064833286214887,0.297812470247459,-0.7939166528119929
2002-03-15,VIC,-38.4399459,142.8116352,2002,3,-1.1861354317715018,3.08,3.53,3.47,0.57,0.3,0.33,-1.6624088278209994,0.9202467514336254,-0.3502689265918075,-1.1861354317715032
2002-04-15,VIC,-38.4399459,142.8116352,2002,4,-1.1574156766748236,3.53,3.47,0.57,0.3,0.33,0.48,-0.5581794826620271,0.0260820537913334,-1.081514545158538,-1.157415676674825
2002-05-15,VIC,-38.4399459,142.8116352,2002,5,-0.4813315582619968,3.47,0.57,0.3,0.33,0.48,1.1,-0.1371553545537,-0.6378432880761061,-1.2983796615960186,-0.4813315582619982
2002-06-15,VIC,-38.4399459,142.8116352,2002,6,0.2394905850999963,0.57,0.3,0.33,0.48,1.1,1.66,0.5564463138861129,-1.116734116478182,-1.4224013767437136,0.2394905850999948
2002-07-15,VIC,-38.4399459,142.8116352,2002,7,0.5351420800916455,0.3,0.33,0.48,1.1,1.66,3.09,0.8061136149098379,-1.1565162120434378,-1.237085070703989,0.535142080091644
2002-08-15,VIC,-38.4399459,142.8116352,2002,8,0.7461255772915698,0.33,0.48,1.1,1.66,3.09,3.47,-0.4355652329954146,-1.1680763310717688,-0.6743241091049522,0.7461255772915683
2002-09-15,VIC,-38.4399459,142.8116352,2002,9,0.81935195376009,0.48,1.1,1.66,3.09,3.47,3.69,0.3072972026643265,-0.725788087811308,0.1252112675946714,0.8193519537600883
2002-10-15,VIC,-38.4399459,142.8116352,2002,10,0.7072240647926678,1.1,1.66,3.09,3.47,3.69,3.79,-0.0828013153289104,-0.3047054976047968,0.749811427425637,0.7072240647926662
2002-11-15,VIC,-38.4399459,142.8116352,2002,11,0.5433800474443532,1.66,3.09,3.47,3.69,3.79,3.91,0.145763145051068,0.1308874304366148,1.927750387877177,0.5433800474443516
2002-12-15,VIC,-38.4399459,142.8116352,2002,12,-0.4680592775270771,3.09,3.47,3.69,3.79,3.91,3.99,-0.6635359708603913,1.013732765248512,0.792584714541129,-0.4680592775270784
2003-01-15,VIC,-38.4399459,142.8116352,2003,1,-1.453869370734527,3.47,3.69,3.79,3.91,3.99,4.02,0.0294730267575666,1.511100676461162,0.4523714764591806,-1.4538693707345285
2003-02-15,VIC,-38.4399459,142.8116352,2003,2,-1.574235227054657,3.69,3.79,3.91,3.99,4.02,3.27,-0.4552554049049151,1.2383086180812062,0.2211286268404317,-1.5742352270546578
2003-03-15,VIC,-38.4399459,142.8116352,2003,3,-0.4447183700277369,3.79,3.91,3.99,4.02,3.27,0.37,-0.6820540112824202,0.6551703559687779,-0.1373813429481584,-0.4447183700277382
2003-04-15,VIC,-38.4399459,142.8116352,2003,4,0.1456692902497053,3.91,3.99,4.02,3.27,0.37,0.6,-0.565704931398551,-0.0135930390192802,-0.6139043500230136,0.1456692902497038
2003-05-15,VIC,-38.4399459,142.8116352,2003,5,0.1049371183390915,3.99,4.02,3.27,0.37,0.6,0.68,-1.071058267597134,-0.7191271663348208,-1.135886636044619,0.10493711833909
2003-06-15,VIC,-38.4399459,142.8116352,2003,6,0.3264469071563643,4.02,3.27,0.37,0.6,0.68,1.46,1.0327594753779858,-1.0978787024994006,-1.4193052973666491,0.3264469071563628
2003-07-15,VIC,-38.4399459,142.8116352,2003,7,0.7127160430278072,3.27,0.37,0.6,0.68,1.46,3.01,0.5091744709059799,-1.194448688564173,-1.163467016367129,0.7127160430278057
2003-08-15,VIC,-38.4399459,142.8116352,2003,8,0.7850270897904699,0.37,0.6,0.68,1.46,3.01,3.49,1.0574829338314051,-1.290988102413327,-0.8897466379215047,0.7850270897904682
2003-09-15,VIC,-38.4399459,142.8116352,2003,9,0.7777044521436187,0.6,0.68,1.46,3.01,3.49,3.75,0.1390136121470053,-0.9281302968400832,-0.1442586368324816,0.777704452143617
2003-10-15,VIC,-38.4399459,142.8116352,2003,10,1.0028755597843173,0.68,1.46,3.01,3.49,3.75,3.93,0.7698382587750126,-0.5246955180956738,1.079200731571736,1.0028755597843155
2003-11-15,VIC,-38.4399459,142.8116352,2003,11,0.7447525827327842,1.46,3.01,3.49,3.75,3.93,3.93,-0.9716613238144616,0.5232894608720151,2.6450401658753986,0.7447525827327827
2003-12-15,VIC,-38.4399459,142.8116352,2003,12,-0.7023836822263415,3.01,3.49,3.75,3.93,3.93,4.0,-0.7083994087126771,1.0913441561068151,0.9546572331863272,-0.7023836822263428
2004-01-15,VIC,-38.4399459,142.8116352,2004,1,-1.200323042212277,3.49,3.75,3.93,3.93,4.0,0.26,-0.9031380342796403,0.8824327422483863,0.6396409344066301,-1.2003230422122784
2004-02-15,VIC,-38.4399459,142.8116352,2004,2,-1.3284692010321872,3.75,3.93,3.93,4.0,0.26,0.34,-0.2186288095419314,1.0132665389604267,0.3066421194672456,-1.3284692010321886
2004-03-15,VIC,-38.4399459,142.8116352,2004,3,-1.0245797386878293,3.93,3.93,4.0,0.26,0.34,0.29,-0.0031496432733909,0.6163436421413898,-0.3753243565748173,-1.0245797386878306
