date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,NSW,-30.4671,150.0305,2002,1,7.68,7.94,,7.8,7.78,,7.81,47.27474427223201,30.26175781250004,6.747427983539095,0.38355
2002-02-15,NSW,-30.4671,150.0305,2002,2,7.94,,7.8,7.78,,7.81,,85.79670667648315,27.950527343750025,8.457860962566844,0.40845
2002-03-15,NSW,-30.4671,150.0305,2002,3,,7.8,7.78,,7.81,,7.9,85.49241292476648,26.98308593750005,6.017142857142858,0.3813
2002-04-15,NSW,-30.4671,150.0305,2002,4,7.8,7.78,,7.81,,7.9,,4.183616079390024,21.74320312500004,6.425788751714677,0.39615
2002-05-15,NSW,-30.4671,150.0305,2002,5,7.78,,7.81,,7.9,,8.26,4.152663722634269,16.102597656250055,4.641972477064221,0.3691
2002-06-15,NSW,-30.4671,150.0305,2002,6,,7.81,,7.9,,8.26,8.29,33.30285966396331,11.098945312500009,4.766785714285714,0.36245
2002-07-15,NSW,-30.4671,150.0305,2002,7,7.81,,7.9,,8.26,8.29,8.42,2.021101696416708,10.75798828125005,3.4896238651102465,0.333
2002-08-15,NSW,-30.4671,150.0305,2002,8,,7.9,,8.26,8.29,8.42,8.77,27.8944052159786,14.323847656250052,4.080291005291005,0.3289
2002-09-15,NSW,-30.4671,150.0305,2002,9,7.9,,8.26,8.29,8.42,8.77,,35.82179725170132,19.09466796875,4.073802242609583,0.3119
2002-10-15,NSW,-30.4671,150.0305,2002,10,,8.26,8.29,8.42,8.77,,8.38,24.00320327281951,25.82468750000004,3.19452804377565,0.2733
2002-11-15,NSW,-30.4671,150.0305,2002,11,8.26,8.29,8.42,8.77,,8.38,,47.14336395263671,30.39765625000001,2.903403403403403,0.2575
2002-12-15,NSW,-30.4671,150.0305,2002,12,8.29,8.42,8.77,,8.38,,,77.45388954877848,30.24162109375004,4.451226993865031,0.2979
2003-01-15,NSW,-30.4671,150.0305,2003,1,8.42,8.77,,8.38,,,8.38,16.5281993150711,32.78312500000004,3.399006951340616,0.29055
2003-02-15,NSW,-30.4671,150.0305,2003,2,8.77,,8.38,,,8.38,,161.2394413948059,30.91179687500005,5.717096774193549,0.30745
2003-03-15,NSW,-30.4671,150.0305,2003,3,,8.38,,,8.38,,8.42,45.40465459227558,23.74455078125004,10.026982492276003,0.4454
2003-04-15,NSW,-30.4671,150.0305,2003,4,8.38,,,8.38,,8.42,8.67,106.322271823883,18.94722656250002,11.00437756497948,0.49425
2003-05-15,NSW,-30.4671,150.0305,2003,5,,,8.38,,8.42,8.67,8.83,8.269171021878707,15.405273437500057,8.567386609071276,0.49665
2003-06-15,NSW,-30.4671,150.0305,2003,6,,8.38,,8.42,8.67,8.83,,49.08093273639677,12.376308593750023,7.493842645381985,0.4965
2003-07-15,NSW,-30.4671,150.0305,2003,7,8.38,,8.42,8.67,8.83,,9.17,37.90313181281085,9.915332031250044,7.593107221006564,0.52415
2003-08-15,NSW,-30.4671,150.0305,2003,8,,8.42,8.67,8.83,,9.17,9.24,57.48939085006712,12.521914062500002,9.370142700329309,0.52845
2003-09-15,NSW,-30.4671,150.0305,2003,9,8.42,8.67,8.83,,9.17,9.24,,7.051974758505792,18.30099609375003,10.974716202270384,0.48285
2003-10-15,NSW,-30.4671,150.0305,2003,10,8.67,8.83,,9.17,9.24,,,84.61427074670785,21.63091796875005,9.233063427800268,0.3999
2003-11-15,NSW,-30.4671,150.0305,2003,11,8.83,,9.17,9.24,,,9.0,52.7104926109314,27.535527343750005,5.897120158887786,0.3321
2003-12-15,NSW,-30.4671,150.0305,2003,12,,9.17,9.24,,,9.0,9.05,77.96545225381851,31.11982421875001,4.840674394099053,0.3281
2004-01-15,NSW,-30.4671,150.0305,2004,1,9.17,9.24,,,9.0,9.05,9.1,220.972760438919,30.97619140625005,8.64531410916581,0.3797
2004-02-15,NSW,-30.4671,150.0305,2004,2,9.24,,,9.0,9.05,9.1,9.12,75.3295801877975,28.95191406250001,11.219860279441116,0.46905
2004-03-15,NSW,-30.4671,150.0305,2004,3,,,9.0,9.05,9.1,9.12,,57.56540518999097,24.93363281250004,11.725152129817443,0.47965
2004-04-15,NSW,-30.4671,150.0305,2004,4,,9.0,9.05,9.1,9.12,,9.45,30.878472626209224,21.801562500000045,6.311666666666667,0.4024
2004-05-15,NSW,-30.4671,150.0305,2004,5,9.0,9.05,9.1,9.12,,9.45,,20.602146372199016,13.177343750000034,5.264935064935064,0.3974
2004-06-15,NSW,-30.4671,150.0305,2004,6,9.05,9.1,9.12,,9.45,,,24.973632395267472,10.528964843750032,5.845157657657658,0.42625
2004-07-15,NSW,-30.4671,150.0305,2004,7,9.1,9.12,,9.45,,,,42.06828582286832,9.845957031250007,6.563947078280044,0.47625
2004-08-15,NSW,-30.4671,150.0305,2004,8,9.12,,9.45,,,,,45.84742024540898,11.89884765625004,8.831704668838219,0.51205
2004-09-15,NSW,-30.4671,150.0305,2004,9,,9.45,,,,,9.196666666666664,72.32422649860382,15.881777343750002,13.162710084033613,0.52825
2004-10-15,NSW,-30.4671,150.0305,2004,10,9.45,,,,,9.196666666666664,9.122666666666667,67.68603301048273,22.766484375000005,10.734795613160522,0.4183
2004-11-15,NSW,-30.4671,150.0305,2004,11,,,,,9.196666666666664,9.122666666666667,9.022333333333334,88.08757424354549,25.48341796875001,9.85925925925926,0.3815
2004-12-15,NSW,-30.4671,150.0305,2004,12,,,,9.196666666666664,9.122666666666667,9.022333333333334,9.025333333333332,200.6550636291504,25.861816406250057,12.603215767634858,0.4662
2005-01-15,NSW,-30.4671,150.0305,2005,1,,,9.196666666666664,9.122666666666667,9.022333333333334,9.025333333333332,8.920333333333334,70.14586436748503,28.746875000000045,10.160341365461846,0.4416
2005-02-15,NSW,-30.4671,150.0305,2005,2,,9.196666666666664,9.122666666666667,9.022333333333334,9.025333333333332,8.920333333333334,8.81225806451613,53.78609418869016,27.859375000000057,8.168768768768768,0.4127
2005-03-15,NSW,-30.4671,150.0305,2005,3,9.196666666666664,9.122666666666667,9.022333333333334,9.025333333333332,8.920333333333334,8.81225806451613,8.716333333333333,25.00126773118969,25.354375000000005,6.196865520728007,0.3733
2005-04-15,NSW,-30.4671,150.0305,2005,4,9.122666666666667,9.022333333333334,9.025333333333332,8.920333333333334,8.81225806451613,8.716333333333333,8.651290322580644,2.6164751127361923,23.226933593750005,4.327822580645162,0.33895
2005-05-15,NSW,-30.4671,150.0305,2005,5,9.022333333333334,9.025333333333332,8.920333333333334,8.81225806451613,8.716333333333333,8.651290322580644,8.609333333333332,20.479042276740024,14.665800781250027,4.94813559322034,0.34035
2005-06-15,NSW,-30.4671,150.0305,2005,6,9.025333333333332,8.920333333333334,8.81225806451613,8.716333333333333,8.651290322580644,8.609333333333332,8.604193548387098,159.4689345359802,12.267246093750032,7.570166453265045,0.3702
2005-07-15,NSW,-30.4671,150.0305,2005,7,8.920333333333334,8.81225806451613,8.716333333333333,8.651290322580644,8.609333333333332,8.604193548387098,8.892258064516128,32.88928127288814,11.195664062500043,8.024553039332536,0.43395
2005-08-15,NSW,-30.4671,150.0305,2005,8,8.81225806451613,8.716333333333333,8.651290322580644,8.609333333333332,8.604193548387098,8.892258064516128,9.048928571428572,27.29376000165936,12.390722656250034,7.873987206823027,0.50705
2005-09-15,NSW,-30.4671,150.0305,2005,9,8.716333333333333,8.651290322580644,8.609333333333332,8.604193548387098,8.892258064516128,9.048928571428572,8.827096774193548,96.9074928760528,16.331445312500023,14.274442190669374,0.55995
2005-10-15,NSW,-30.4671,150.0305,2005,10,8.651290322580644,8.609333333333332,8.604193548387098,8.892258064516128,9.048928571428572,8.827096774193548,8.667666666666666,72.3306405544281,22.24650390625004,13.967032967032967,0.4969
2005-11-15,NSW,-30.4671,150.0305,2005,11,8.609333333333332,8.604193548387098,8.892258064516128,9.048928571428572,8.827096774193548,8.667666666666666,8.590967741935483,114.919159412384,25.078984375000005,11.869157894736844,0.4406
2005-12-15,NSW,-30.4671,150.0305,2005,12,8.604193548387098,8.892258064516128,9.048928571428572,8.827096774193548,8.667666666666666,8.590967741935483,8.556000000000001,81.30943465232843,29.28660156250004,8.757779980178395,0.4411
2006-01-15,NSW,-30.4671,150.0305,2006,1,8.892258064516128,9.048928571428572,8.827096774193548,8.667666666666666,8.590967741935483,8.556000000000001,8.500967741935483,87.63081443309778,30.87470703125001,8.335745140388768,0.4039
2006-02-15,NSW,-30.4671,150.0305,2006,2,9.048928571428572,8.827096774193548,8.667666666666666,8.590967741935483,8.556000000000001,8.500967741935483,8.492903225806453,107.75138139724729,28.75498046875004,8.570456960680128,0.4271
2006-03-15,NSW,-30.4671,150.0305,2006,3,8.827096774193548,8.667666666666666,8.590967741935483,8.556000000000001,8.500967741935483,8.492903225806453,8.475333333333333,36.84447151422496,25.576503906250025,8.871951219512194,0.44415
2006-04-15,NSW,-30.4671,150.0305,2006,4,8.667666666666666,8.590967741935483,8.556000000000001,8.500967741935483,8.492903225806453,8.475333333333333,8.698387096774193,36.16385936737053,18.53957031250001,6.693956043956044,0.3994
2006-05-15,NSW,-30.4671,150.0305,2006,5,8.590967741935483,8.556000000000001,8.500967741935483,8.492903225806453,8.475333333333333,8.698387096774193,8.624333333333334,0.5740538542158902,14.377871093750002,4.7611233480176205,0.3591
2006-06-15,NSW,-30.4671,150.0305,2006,6,8.556000000000001,8.500967741935483,8.492903225806453,8.475333333333333,8.698387096774193,8.624333333333334,8.702580645161289,61.35034918785091,10.116699218750057,5.639622641509434,0.3729
2006-07-15,NSW,-30.4671,150.0305,2006,7,8.500967741935483,8.492903225806453,8.475333333333333,8.698387096774193,8.624333333333334,8.702580645161289,8.89225806451613,58.0879046916961,10.778671875000043,6.058008658008657,0.4307
2006-08-15,NSW,-30.4671,150.0305,2006,8,8.492903225806453,8.475333333333333,8.698387096774193,8.624333333333334,8.702580645161289,8.89225806451613,9.13892857142857,19.194475874304747,13.181679687500036,7.883870967741936,0.5048
2006-09-15,NSW,-30.4671,150.0305,2006,9,8.475333333333333,8.698387096774193,8.624333333333334,8.702580645161289,8.89225806451613,9.13892857142857,9.081612903225809,40.356691181659656,18.451015625000025,10.599800598205384,0.4577
2006-10-15,NSW,-30.4671,150.0305,2006,10,8.698387096774193,8.624333333333334,8.702580645161289,8.89225806451613,9.13892857142857,9.081612903225809,8.908666666666667,29.95192819833754,24.446191406250023,6.547469220246239,0.3394
2006-11-15,NSW,-30.4671,150.0305,2006,11,8.624333333333334,8.702580645161289,8.89225806451613,9.13892857142857,9.081612903225809,8.908666666666667,8.78967741935484,81.72472536563868,27.703203125000016,5.962308478038817,0.3332
2006-12-15,NSW,-30.4671,150.0305,2006,12,8.702580645161289,8.89225806451613,9.13892857142857,9.081612903225809,8.908666666666667,8.78967741935484,8.693999999999999,38.83659821748731,30.011171875,4.609311740890688,0.30995
2007-01-15,NSW,-30.4671,150.0305,2007,1,8.89225806451613,9.13892857142857,9.081612903225809,8.908666666666667,8.78967741935484,8.693999999999999,8.674193548387096,37.954345732927294,31.773828125000023,4.4515247108307054,0.29655
2007-02-15,NSW,-30.4671,150.0305,2007,2,9.13892857142857,9.081612903225809,8.908666666666667,8.78967741935484,8.693999999999999,8.674193548387096,8.72225806451613,113.69695472717284,30.30513671875002,5.419447287615149,0.30785
2007-03-15,NSW,-30.4671,150.0305,2007,3,9.081612903225809,8.908666666666667,8.78967741935484,8.693999999999999,8.674193548387096,8.72225806451613,8.806999999999999,71.27224355936048,26.114082031250007,7.734046890927626,0.39775
2007-04-15,NSW,-30.4671,150.0305,2007,4,8.908666666666667,8.78967741935484,8.693999999999999,8.674193548387096,8.72225806451613,8.806999999999999,9.074516129032258,42.04646140336985,23.05519531250001,4.785899280575539,0.3531
2007-05-15,NSW,-30.4671,150.0305,2007,5,8.78967741935484,8.693999999999999,8.674193548387096,8.72225806451613,8.806999999999999,9.074516129032258,9.055666666666667,34.46751978993414,16.85914062500001,5.969450800915332,0.3926
2007-06-15,NSW,-30.4671,150.0305,2007,6,8.693999999999999,8.674193548387096,8.72225806451613,8.806999999999999,9.074516129032258,9.055666666666667,9.112903225806452,83.83139133453366,9.293964843750018,6.991095890410958,0.4764
