date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,VIC,-37.7203221,148.4515852,2002,1,4.83,4.39,4.6,4.46,4.22,4.14,4.12,51.31869274377823,18.95134765625005,30.988836477987423,0.73
2002-02-15,VIC,-37.7203221,148.4515852,2002,2,4.39,4.6,4.46,4.22,4.14,4.12,4.14,160.48262500762934,17.51824218750005,25.35256124721604,0.7623770234986945
2002-03-15,VIC,-37.7203221,148.4515852,2002,3,4.6,4.46,4.22,4.14,4.12,4.14,4.38,51.28219610452648,15.360917968750016,18.20659340659341,0.7833044386422976
2002-04-15,VIC,-37.7203221,148.4515852,2002,4,4.46,4.22,4.14,4.12,4.14,4.38,4.27,146.80052876472473,12.789062500000057,14.946274509803922,0.79435
2002-05-15,VIC,-37.7203221,148.4515852,2002,5,4.22,4.14,4.12,4.14,4.38,4.27,4.92,54.79127812385557,9.864140625000005,8.844712990936557,0.7922
2002-06-15,VIC,-37.7203221,148.4515852,2002,6,4.14,4.12,4.14,4.38,4.27,4.92,4.68,82.15630888938898,7.464023437500032,6.800630914826498,0.78475
2002-07-15,VIC,-37.7203221,148.4515852,2002,7,4.12,4.14,4.38,4.27,4.92,4.68,5.18,27.83272290229793,5.861367187500036,7.624716553287982,0.7637
2002-08-15,VIC,-37.7203221,148.4515852,2002,8,4.14,4.38,4.27,4.92,4.68,5.18,5.35,31.014310777187305,7.197128906250043,10.885287846481877,0.7619
2002-09-15,VIC,-37.7203221,148.4515852,2002,9,4.38,4.27,4.92,4.68,5.18,5.35,,50.54345548152919,10.515566406250002,16.766392092257,0.7416999999999999
2002-10-15,VIC,-37.7203221,148.4515852,2002,10,4.27,4.92,4.68,5.18,5.35,,,49.63893270492548,12.799804687500057,21.50803921568628,0.7013
2002-11-15,VIC,-37.7203221,148.4515852,2002,11,4.92,4.68,5.18,5.35,,,,80.36013007163996,16.704589843750057,27.1370320855615,0.67485
2002-12-15,VIC,-37.7203221,148.4515852,2002,12,4.68,5.18,5.35,,,,,36.92518097162241,20.013066406250005,28.464209115281506,0.69875
2003-01-15,VIC,-37.7203221,148.4515852,2003,1,5.18,5.35,,,,,,18.69019697606558,18.60273437500001,27.515670436187406,0.6744500000000001
2003-02-15,VIC,-37.7203221,148.4515852,2003,2,5.35,,,,,,,39.79228091239928,21.223769531250014,19.9242946708464,0.6247
2003-03-15,VIC,-37.7203221,148.4515852,2003,3,,,,,,,,68.42280614376067,17.077500000000043,16.710174880763116,0.6571499999999999
2003-04-15,VIC,-37.7203221,148.4515852,2003,4,,,,,,,,72.21042037010189,11.532519531250044,10.11607717041801,0.6922499999999999
2003-05-15,VIC,-37.7203221,148.4515852,2003,5,,,,,,,,47.39621865749355,8.948671875000002,7.970466321243522,0.7099
2003-06-15,VIC,-37.7203221,148.4515852,2003,6,,,,,,,,40.6682968139648,7.52414062500003,6.333057851239669,0.7162
2003-07-15,VIC,-37.7203221,148.4515852,2003,7,,,,,,,,25.52125614881509,6.003320312500023,6.321963824289407,0.6951
2003-08-15,VIC,-37.7203221,148.4515852,2003,8,,,,,,,,85.18673694133757,6.260507812500009,8.62553191489362,0.68045
2003-09-15,VIC,-37.7203221,148.4515852,2003,9,,,,,,,,46.52107000350948,9.720039062500009,13.208267090620032,0.6671500000000001
2003-10-15,VIC,-37.7203221,148.4515852,2003,10,,,,,,,,106.6546432971954,12.061914062500025,17.242772277227726,0.6501
2003-11-15,VIC,-37.7203221,148.4515852,2003,11,,,,,,,,60.32751560211175,17.495605468750057,23.70027210884353,0.6523180156657964
2003-12-15,VIC,-37.7203221,148.4515852,2003,12,,,,,,,,82.81405627727507,20.14625000000001,29.785771276595742,0.684
2004-01-15,VIC,-37.7203221,148.4515852,2004,1,,,,,,,4.86,79.9287375211715,18.876777343750007,27.096341463414632,0.67245
2004-02-15,VIC,-37.7203221,148.4515852,2004,2,,,,,,4.86,4.78,33.6393145322799,19.036132812500057,25.865217391304345,0.6968
2004-03-15,VIC,-37.7203221,148.4515852,2004,3,,,,,4.86,4.78,4.73,11.933597266674008,17.482910156250057,18.320070422535213,0.6967339425587468
2004-04-15,VIC,-37.7203221,148.4515852,2004,4,,,,4.86,4.78,4.73,4.81,87.9654854536056,12.717285156250057,11.763700234192038,0.71325
2004-05-15,VIC,-37.7203221,148.4515852,2004,5,,,4.86,4.78,4.73,4.81,4.73,86.56877553462978,7.978535156250018,7.905263157894737,0.7455
2004-06-15,VIC,-37.7203221,148.4515852,2004,6,,4.86,4.78,4.73,4.81,4.73,,40.57170242071148,7.414746093750011,7.009866666666667,0.7543
2004-07-15,VIC,-37.7203221,148.4515852,2004,7,4.86,4.78,4.73,4.81,4.73,,5.4,64.58616346120832,5.351425781250043,6.61166253101737,0.7477000000000001
2004-08-15,VIC,-37.7203221,148.4515852,2004,8,4.78,4.73,4.81,4.73,,5.4,5.3,48.59169423580168,6.977773437500048,9.605555555555556,0.7145499999999999
2004-09-15,VIC,-37.7203221,148.4515852,2004,9,4.73,4.81,4.73,,5.4,5.3,5.22,73.06417822837824,10.005507812500014,14.58195652173913,0.7208
2004-10-15,VIC,-37.7203221,148.4515852,2004,10,4.81,4.73,,5.4,5.3,5.22,5.1,60.47809642553324,14.85519531250003,21.51627906976745,0.72405
2004-11-15,VIC,-37.7203221,148.4515852,2004,11,4.73,,5.4,5.3,5.22,5.1,5.21,92.99295902252194,16.282246093750018,28.750497017892645,0.7102
2004-12-15,VIC,-37.7203221,148.4515852,2004,12,,5.4,5.3,5.22,5.1,5.21,4.89,108.65668129920957,17.63935546875001,26.838319088319096,0.71335
2005-01-15,VIC,-37.7203221,148.4515852,2005,1,5.4,5.3,5.22,5.1,5.21,4.89,4.73,68.35548913478846,20.808750000000032,32.24702380952381,0.7181556135770234
2005-02-15,VIC,-37.7203221,148.4515852,2005,2,5.3,5.22,5.1,5.21,4.89,4.73,4.69,111.4081206321716,16.613906250000014,26.13833333333333,0.7437000000000001
2005-03-15,VIC,-37.7203221,148.4515852,2005,3,5.22,5.1,5.21,4.89,4.73,4.69,4.51,59.89217680692671,17.004785156250023,18.072972972972973,0.7520499999999999
