Input_size,Output_size,Number_layer,Size_layer,Learning_rate,Dropout,Number_epoch,Best_epoch,Train_loss,Val_loss,Gen_loss
6.0,1.0,3.0,128.0,0.0005,0.0,1000.0,866.0,0.0471440549008548,0.1333945468068123,0.1537034921348095
6.0,1.0,3.0,128.0,0.0005,0.0,1000.0,996.0,8.80937123298645,9.207793474197388,9.065802574157717
6.0,1.0,3.0,128.0,0.0005,0.0,1000.0,991.0,8.264989018440247,7.98804497718811,9.717057466506958
6.0,1.0,2.0,128.0,0.0005,0.0,1000.0,925.0,0.0369659420102834,0.0859426455572247,0.0913167353719472
6.0,1.0,3.0,128.0,0.0005,0.0,1000.0,912.0,0.0382489021867513,0.1460192538797855,0.2327624633908271
6.0,1.0,4.0,128.0,0.0005,0.0,1000.0,903.0,0.0428401622921228,0.2114716060459613,0.2984909862279892
6.0,1.0,5.0,128.0,0.0005,0.0,1000.0,16.0,0.7484363317489624,0.7658870667219162,1.4687431752681732
6.0,1.0,3.0,128.0,0.0005,0.0,1000.0,729.0,0.046803462319076,0.1176670454442501,0.1417195424437523
6.0,1.0,3.0,128.0,0.0001,0.0,1000.0,999.0,0.046221574768424,0.1471691876649856,0.3143000677227974
6.0,1.0,2.0,128.0,0.0001,0.0,1000.0,997.0,0.1384632345288992,0.2920517660677433,0.4548336118459701
6.0,1.0,3.0,128.0,0.0001,0.0,1000.0,996.0,0.0905379969626665,0.1287086475640535,0.2603135704994201
6.0,1.0,4.0,128.0,0.0001,0.0,1000.0,992.0,0.0775010976940393,0.3583164513111114,0.5977258235216141
6.0,1.0,5.0,128.0,0.0001,0.0,1000.0,980.0,0.0958615820854902,0.2909293510019779,0.514378696680069
6.0,1.0,2.0,128.0,0.0001,0.0,2500.0,2295.0,0.0471896938979625,0.0704117752611637,0.103908110409975
6.0,1.0,3.0,128.0,0.0001,0.0,2500.0,2345.0,0.0274882134981453,0.1089560091495513,0.2450818642973899
6.0,1.0,4.0,128.0,0.0001,0.0,2500.0,2488.0,0.0458810236304998,0.3318136781454086,0.6315496787428856
6.0,1.0,5.0,128.0,0.0001,0.0,2500.0,2499.0,0.0976471900939941,0.7533622086048126,1.3544136583805084
6.0,1.0,4.0,128.0,0.0001,0.0,2500.0,2473.0,0.0299692647531628,0.1014137901365757,0.2330735139548778
6.0,1.0,3.0,32.0,0.0001,0.0,2500.0,155.0,0.7512857615947723,0.7864343076944351,1.4585559666156769
6.0,1.0,3.0,64.0,0.0001,0.0,2500.0,76.0,0.7477883249521255,0.7824730426073074,1.478453814983368
6.0,1.0,3.0,128.0,0.0001,0.0,2500.0,2468.0,0.0370695018209517,0.0762068210169673,0.1860256679356098
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,2475.0,0.0260377684608101,0.0791573850437998,0.1443729288876056
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,171.0,0.7025113105773926,0.2706433832645416,0.4656220972537994
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,118.0,0.6541990041732788,0.1550942510366439,0.5903202891349792
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,2110.0,0.1151153147220611,0.3102144002914428,1.9776477813720703
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,2440.0,0.046537559479475,0.6188984513282776,1.103687405586243
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,703.0,0.4046375751495361,0.7905406355857849,1.4236472845077517
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,1925.0,0.0552325323224067,0.5334060788154602,1.701387882232666
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,1195.0,0.2502816319465637,0.8704524040222168,1.378964900970459
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,237.0,0.4370446801185608,0.7051763534545898,0.8454350829124451
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,2449.0,0.0332541540265083,0.2309699207544326,1.215256690979004
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,1909.0,0.0753523111343383,0.4593177735805511,1.8249775171279907
6.0,1.0,3.0,256.0,0.0001,0.0,2500.0,2235.0,0.0629233419895172,0.2878260910511017,1.6127725839614868
6.0,1.0,3.0,256.0,0.0003,0.0,100.0,67.0,0.6491490602493286,0.7143925428390503,1.6379379034042358
6.0,1.0,3.0,256.0,0.0001,0.0,100.0,99.0,0.245024636387825,0.4388048589229584,0.9061113744974136
6.0,1.0,3.0,256.0,0.0001,0.0,100.0,98.0,0.2603278338909149,0.4224086582660675,0.8806899964809417
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,1492.0,0.017037293408066,0.0425005983561277,0.058464165776968
6.0,1.0,3.0,256.0,0.0001,0.0,10.0,9.0,10.193631172180176,10.874075889587402,10.640222689935142
6.0,1.0,3.0,256.0,0.0001,0.0,10.0,9.0,4.530094146728516,5.037234306335449,5.330413984285818
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,1284.0,6.068382263183594,8.691993713378906,9.87315630061286
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,1491.0,4.3881144523620605,4.695254325866699,4.9113269456335
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,1488.0,6.93045981725057,7.183054765065511,7.313721692168166
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,44.0,0.0949702784419059,0.0377739109098911,0.0247600525617599
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,93.0,0.0223875902593135,0.0689192935824394,0.1394334882497787
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,185.0,0.01040821056813,0.0277305748313665,0.1389921009540558
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,272.0,0.1223077178001403,0.1957933455705642,0.0933263674378395
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,93.0,0.0223875902593135,0.0689192935824394,0.1394334882497787
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,50.0,0.0408494286239147,0.1243995651602745,0.1487373858690261
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,275.0,0.0215469393879175,0.0313916467130184,0.0484353490173816
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,24.0,0.0515019297599792,0.0108266333118081,0.1335906535387039
6.0,1.0,3.0,256.0,0.0001,0.0,1500.0,113.0,0.030728057026863,0.0287979617714881,0.196929320693016
